                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.73187,                0.47254,                 0.9434,                0.83384,                0.89612,                0.91801,                0.67028,                 1.0319,                0.83766,                 1.0898,              0.0018337,              0.0018337,              0.0018337
                     87,                0.70059,                 0.4722,                 0.9237,                0.83384,                0.89612,                0.91801,                0.67028,                 1.0319,                0.83766,                 1.0898,              0.0018317,              0.0018317,              0.0018317
                     88,                0.71414,                0.46068,                0.93052,                0.88233,                0.84524,                 0.9037,                0.65588,                0.96675,                0.76399,                 1.0374,              0.0018297,              0.0018297,              0.0018297
                     89,                0.74487,                0.45375,                0.91988,                0.88233,                0.84524,                 0.9037,                0.65588,                0.96675,                0.76399,                 1.0374,              0.0018277,              0.0018277,              0.0018277
                     90,                0.76944,                0.47129,                0.93058,                0.90324,                0.84524,                0.92095,                0.72544,                0.79902,                0.72124,                0.95724,              0.0018258,              0.0018258,              0.0018258
                     91,                0.70748,                0.45838,                0.91226,                0.90324,                0.84524,                0.92095,                0.72544,                0.79902,                0.72124,                0.95724,              0.0018238,              0.0018238,              0.0018238
                     92,                  0.685,                0.45464,                 0.9144,                0.80258,                0.82143,                0.88428,                  0.692,                  0.828,                 1.0188,                0.98495,              0.0018218,              0.0018218,              0.0018218
                     93,                0.67799,                0.42118,                0.92265,                0.80258,                0.82143,                0.88428,                  0.692,                  0.828,                 1.0188,                0.98495,              0.0018198,              0.0018198,              0.0018198
                     94,                0.75789,                0.44657,                0.94063,                0.64563,                0.73743,                0.75597,                0.56672,                0.95901,                  1.672,                 1.0298,              0.0018178,              0.0018178,              0.0018178
                     95,                0.72348,                0.46532,                0.93583,                0.64563,                0.73743,                0.75597,                0.56672,                0.95901,                  1.672,                 1.0298,              0.0018159,              0.0018159,              0.0018159
                     96,                0.66957,                0.46071,                0.90773,                0.88884,                 0.7381,                0.83919,                0.60132,                 1.0793,                 1.2026,                 1.1015,              0.0018139,              0.0018139,              0.0018139
                     97,                0.66868,                0.43355,                0.90466,                0.88884,                 0.7381,                0.83919,                0.60132,                 1.0793,                 1.2026,                 1.1015,              0.0018119,              0.0018119,              0.0018119
                     98,                0.74146,                0.43676,                0.94507,                0.82679,                0.67857,                0.81346,                0.64547,                0.88566,                 1.2739,                 1.0279,              0.0018099,              0.0018099,              0.0018099
                     99,                0.71095,                0.43144,                0.93675,                0.82679,                0.67857,                0.81346,                0.64547,                0.88566,                 1.2739,                 1.0279,              0.0018079,              0.0018079,              0.0018079
                    100,                 0.7336,                0.44796,                0.92362,                0.90247,                0.88129,                0.92761,                0.72254,                0.86188,                0.71279,                  1.013,               0.001806,               0.001806,               0.001806
                    101,                0.80793,                0.50683,                0.98531,                0.90247,                0.88129,                0.92761,                0.72254,                0.86188,                0.71279,                  1.013,               0.001804,               0.001804,               0.001804
                    102,                 0.8083,                0.46045,                 0.9762,                0.91049,                0.84772,                0.93639,                0.73127,                 0.8382,                0.66907,                  1.005,               0.001802,               0.001802,               0.001802
                    103,                0.78838,                0.44118,                 0.9443,                0.91049,                0.84772,                0.93639,                0.73127,                 0.8382,                0.66907,                  1.005,                 0.0018,                 0.0018,                 0.0018
                    104,                0.75243,                0.43001,                0.93696,                0.91647,                0.84524,                0.91555,                0.69514,                0.92802,                0.70644,                 1.0679,               0.001798,               0.001798,               0.001798
                    105,                0.67477,                0.42764,                0.91103,                0.91647,                0.84524,                0.91555,                0.69514,                0.92802,                0.70644,                 1.0679,              0.0017961,              0.0017961,              0.0017961
                    106,                0.68434,                0.41981,                0.92701,                0.90952,                0.83772,                0.89954,                0.62726,                 1.1159,                0.81803,                 1.1506,              0.0017941,              0.0017941,              0.0017941
                    107,                0.80963,                0.43995,                0.94006,                0.90952,                0.83772,                0.89954,                0.62726,                 1.1159,                0.81803,                 1.1506,              0.0017921,              0.0017921,              0.0017921
                    108,                0.70333,                0.41011,                0.92114,                0.90944,                0.79762,                 0.8932,                0.65369,                 1.0352,                0.87892,                 1.0962,              0.0017901,              0.0017901,              0.0017901
                    109,                0.70149,                0.40494,                0.91429,                0.90944,                0.79762,                 0.8932,                0.65369,                 1.0352,                0.87892,                 1.0962,              0.0017881,              0.0017881,              0.0017881
                    110,                0.75333,                0.44269,                0.94229,                0.77389,                0.79762,                0.81486,                0.65678,                0.81042,                 1.0171,                0.98987,              0.0017862,              0.0017862,              0.0017862
                    111,                0.62763,                0.38905,                0.89989,                0.77389,                0.79762,                0.81486,                0.65678,                0.81042,                 1.0171,                0.98987,              0.0017842,              0.0017842,              0.0017842
                    112,                0.60997,                0.39653,                0.88784,                0.85575,                0.83333,                0.88721,                0.70722,                0.78078,                0.84301,                0.96134,              0.0017822,              0.0017822,              0.0017822
                    113,                0.71771,                0.41308,                0.92279,                0.85575,                0.83333,                0.88721,                0.70722,                0.78078,                0.84301,                0.96134,              0.0017802,              0.0017802,              0.0017802
                    114,                0.79148,                0.44855,                0.97032,                0.86304,                0.86905,                 0.9254,                0.70921,                0.87699,                0.75972,                 1.0038,              0.0017782,              0.0017782,              0.0017782
                    115,                0.70228,                0.42638,                0.92388,                0.86304,                0.86905,                 0.9254,                0.70921,                0.87699,                0.75972,                 1.0038,              0.0017763,              0.0017763,              0.0017763
                    116,                0.67323,                0.41696,                0.90101,                0.85025,                0.89286,                0.91735,                0.67961,                0.99742,                0.82665,                 1.0616,              0.0017743,              0.0017743,              0.0017743
                    117,                0.64512,                0.42188,                0.91529,                0.85025,                0.89286,                0.91735,                0.67961,                0.99742,                0.82665,                 1.0616,              0.0017723,              0.0017723,              0.0017723
                    118,                0.69482,                0.42305,                0.91571,                0.84928,                0.89286,                0.92725,                0.69422,                0.95442,                0.78313,                 1.0547,              0.0017703,              0.0017703,              0.0017703
                    119,                0.63542,                0.39317,                0.87577,                0.84928,                0.89286,                0.92725,                0.69422,                0.95442,                0.78313,                 1.0547,              0.0017683,              0.0017683,              0.0017683
                    120,                0.63932,                0.41092,                0.89386,                0.90019,                0.85714,                0.92379,                0.71286,                0.85095,                0.74259,                 1.0003,              0.0017664,              0.0017664,              0.0017664
                    121,                0.66921,                0.40735,                0.88723,                0.90019,                0.85714,                0.92379,                0.71286,                0.85095,                0.74259,                 1.0003,              0.0017644,              0.0017644,              0.0017644
                    122,                0.65482,                0.40251,                 0.8941,                0.94996,                0.82143,                0.92144,                0.72626,                0.75625,                0.72747,                  0.935,              0.0017624,              0.0017624,              0.0017624
                    123,                0.66285,                0.41468,                0.89979,                0.94996,                0.82143,                0.92144,                0.72626,                0.75625,                0.72747,                  0.935,              0.0017604,              0.0017604,              0.0017604
                    124,                0.62485,                0.39734,                0.88765,                0.94285,                0.80952,                0.93629,                 0.7302,                0.83492,                0.68044,                0.95796,              0.0017584,              0.0017584,              0.0017584
                    125,                0.67806,                0.39501,                0.90894,                0.94285,                0.80952,                0.93629,                 0.7302,                0.83492,                0.68044,                0.95796,              0.0017565,              0.0017565,              0.0017565
                    126,                0.66487,                0.39743,                0.89142,                0.90493,                0.80952,                 0.9135,                0.70206,                0.86577,                0.73894,                0.96769,              0.0017545,              0.0017545,              0.0017545
                    127,                0.64216,                0.42856,                0.89452,                0.90493,                0.80952,                 0.9135,                0.70206,                0.86577,                0.73894,                0.96769,              0.0017525,              0.0017525,              0.0017525
                    128,                0.60882,                0.40106,                 0.8928,                0.91981,                0.77381,                0.86201,                 0.6861,                0.84362,                0.81892,                0.97448,              0.0017505,              0.0017505,              0.0017505
                    129,                  0.631,                0.41474,                0.91127,                0.91981,                0.77381,                0.86201,                 0.6861,                0.84362,                0.81892,                0.97448,              0.0017485,              0.0017485,              0.0017485
